Date,Open,High,Low,Close,Adj Close,Volume,Pct_Change
2021-04-29,330.1199951171875,331.80999755859375,321.6099853515625,329.510009765625,328.83428955078125,56526800,7.297307739492176
2021-07-23,360.9100036621094,375.3299865722656,357.19000244140625,369.7900085449219,369.03167724609375,33694300,5.296278929433007
2021-10-22,326.3500061035156,329.6300048828125,321.1099853515625,324.6099853515625,323.9443054199219,35224500,-5.051481473199315
2022-02-03,244.64999389648438,248.0,235.75,237.75999450683594,237.2724151611328,188119900,-26.39009429617001
2022-02-07,237.6999969482422,238.3000030517578,224.00999450683594,224.91000366210938,224.4487762451172,88613800,-5.137292390133485
2022-02-09,224.1999969482422,233.3699951171875,222.2100067138672,232.0,231.52423095703125,86563300,5.368335344311248
2022-03-07,200.7899932861328,200.88999938964844,187.27999877929688,187.47000122070312,187.08555603027344,38560600,-6.293110531024149
2022-03-16,194.6999969482422,203.72999572753906,194.52000427246094,203.6300048828125,203.21241760253906,40640300,6.04072594547207
2022-04-20,213.61000061035156,214.16000366210938,198.9199981689453,200.4199981689453,200.00900268554688,43036500,-7.772299471546795
2022-04-21,201.60000610351562,202.97000122070312,185.5800018310547,188.07000732421875,187.684326171875,49954100,-6.162060881353759
2022-04-28,202.9199981689453,208.52999877929688,192.89999389648438,205.72999572753906,205.30810546875,100890600,17.593594342812647
2022-05-02,201.1699981689453,211.8800048828125,200.99000549316406,211.1300048828125,210.69703674316406,49915300,5.317510965361372
2022-05-04,210.64999389648438,224.3000030517578,206.9600067138672,223.41000366210938,222.9518585205078,41375900,5.367170444120184
2022-05-05,218.74000549316406,220.1699981689453,206.16000366210938,208.27999877929688,207.85287475585938,41129200,-6.772306750364942
2022-05-18,200.0,201.0,191.6300048828125,192.24000549316406,191.8457794189453,23960000,-5.122885238716646
2022-05-24,180.5500030517578,183.67999267578125,176.11000061035156,181.27999877929688,180.9082489013672,50406300,-7.618610824562133
